carat,cut,color,clarity,depth,table,x,y,z,price
0.31,Ideal,F,VS2,61.6,56.0,4.35,4.38,2.69,583
1.21,Premium,I,SI2,59.9,61.0,6.89,6.85,4.11,4337
1.01,Good,D,SI2,57.6,62.0,6.66,6.56,3.81,4338
1.01,Premium,D,SI2,61.8,57.0,6.47,6.42,3.98,4338
0.7,Ideal,F,VVS1,62.4,55.0,5.65,5.69,3.54,4341
1.2,Good,D,I1,63.6,60.0,6.72,6.67,4.26,4346
1.18,Very Good,J,SI2,62.2,58.0,6.74,6.79,4.21,4353
1.02,Ideal,H,SI2,61.9,56.0,6.47,6.51,4.02,4353
1.1,Premium,H,SI1,62.1,58.0,6.61,6.59,4.1,4354
1.08,Ideal,I,SI1,61.4,57.0,6.67,6.62,4.08,4355
1.01,Very Good,E,SI2,61.8,56.0,6.42,6.5,3.99,4355
1.1,Very Good,I,SI1,62.7,58.0,6.54,6.58,4.11,4356
0.9,Very Good,G,VS1,62.4,55.0,6.11,6.17,3.83,4358
1.02,Ideal,H,SI2,61.0,58.0,6.5,6.54,3.98,4360
0.91,Ideal,G,SI2,61.0,57.0,6.25,6.28,3.82,4360
1.09,Ideal,J,VS2,62.0,54.0,6.64,6.61,4.11,4361
0.7,Very Good,D,VVS1,63.4,59.0,5.63,5.64,3.57,4362
1.07,Premium,E,SI2,60.5,59.0,6.67,6.59,4.01,4362
1.05,Premium,F,SI2,62.8,55.0,6.55,6.48,4.09,4363
1.07,Premium,F,SI2,61.7,58.0,6.55,6.58,4.05,4366
1.04,Premium,H,SI2,61.5,59.0,6.54,6.51,4.01,4368
1.0,Premium,G,SI2,61.8,59.0,6.38,6.33,3.93,4368
1.0,Fair,H,VS1,65.4,61.0,6.22,6.17,4.05,4368
1.04,Ideal,H,SI2,61.1,56.0,6.66,6.6,4.05,4368
0.9,Very Good,G,VS2,62.5,58.0,6.1,6.15,3.83,4369
0.91,Very Good,H,VS1,62.1,59.0,6.17,6.2,3.84,4370
0.9,Good,F,VS2,62.4,58.0,6.08,6.1,3.8,4370
1.02,Premium,G,SI2,62.9,59.0,6.4,6.38,4.02,4370
1.02,Very Good,G,SI2,63.1,60.0,6.41,6.34,4.02,4370
1.13,Ideal,J,SI2,61.9,56.0,6.67,6.71,4.14,4371
1.06,Premium,F,SI2,62.4,58.0,6.5,6.54,4.07,4372
0.84,Ideal,G,VS1,61.4,56.0,6.04,6.15,3.74,4372
1.07,Ideal,F,SI2,61.9,55.0,6.53,6.58,4.06,4374
1.07,Premium,H,VS2,60.6,60.0,6.66,6.63,4.03,4374
1.04,Ideal,G,SI2,60.7,57.0,6.51,6.61,3.98,4375
1.01,Very Good,I,SI1,60.0,62.0,6.41,6.53,3.88,4375
0.93,Good,G,SI1,63.8,58.0,6.14,6.09,3.9,4375
1.01,Ideal,I,VS2,64.1,58.0,6.27,6.21,4.0,4378
0.9,Very Good,D,SI1,61.5,58.0,6.15,6.21,3.8,4381
1.02,Premium,D,SI2,60.0,62.0,6.59,6.5,3.93,4381
1.02,Fair,D,SI2,65.5,60.0,6.27,6.24,4.1,4381
1.09,Ideal,H,SI2,60.0,59.0,6.72,6.77,4.05,4383
1.01,Ideal,G,SI2,61.0,56.0,6.48,6.54,3.97,4383
1.03,Premium,H,SI1,60.7,60.0,6.61,6.53,3.99,4384
0.9,Premium,E,VS2,58.0,61.0,6.45,6.34,3.71,4385
0.91,Ideal,H,SI1,61.9,56.0,6.17,6.21,3.83,4386
1.0,Good,F,SI2,60.2,65.0,6.38,6.41,3.85,4386
1.0,Premium,H,SI1,59.0,60.0,6.52,6.56,3.86,4389
1.0,Good,H,SI1,63.9,56.0,6.28,6.31,4.02,4389
1.0,Very Good,E,SI2,63.3,55.0,6.29,6.25,3.97,4390
1.03,Ideal,G,SI2,61.7,55.0,6.48,6.52,4.01,4391
1.08,Good,F,SI2,58.0,61.0,6.72,6.77,3.91,4391
1.16,Good,F,SI2,63.7,63.0,6.55,6.63,4.2,4395
1.01,Premium,G,SI1,62.3,60.0,6.31,6.25,3.91,4395
1.02,Very Good,E,SI2,59.6,59.0,6.54,6.59,3.91,4398
1.05,Very Good,E,SI2,62.9,57.0,6.47,6.51,4.08,4398
0.77,Very Good,F,VVS1,60.2,58.0,5.93,5.97,3.58,4399
0.31,Ideal,F,VS2,60.8,57.0,4.38,4.41,2.67,583
0.31,Very Good,F,VS2,58.3,61.0,4.44,4.48,2.6,583
0.31,Ideal,F,VS2,62.2,56.0,4.36,4.39,2.72,583
0.35,Ideal,F,SI1,62.4,55.0,4.52,4.55,2.83,583
0.35,Ideal,F,SI1,62.2,56.0,4.48,4.52,2.8,583
0.35,Good,F,SI1,63.1,56.0,4.46,4.51,2.83,583
0.35,Very Good,F,SI1,61.7,58.0,4.51,4.54,2.79,583
0.32,Very Good,E,SI1,62.3,55.0,4.36,4.38,2.72,584
1.07,Premium,G,SI2,62.9,59.0,6.58,6.51,4.12,4401
0.9,Good,G,VS1,63.9,60.0,6.14,6.09,3.91,4401
0.9,Ideal,H,VS2,61.9,58.0,6.2,6.24,3.85,4403
0.97,Very Good,H,SI1,62.8,55.0,6.25,6.3,3.94,4404
0.92,Ideal,G,SI2,61.9,57.0,6.23,6.25,3.86,4406
0.92,Good,E,VS2,58.9,57.0,6.35,6.38,3.75,4406
1.03,Premium,H,SI1,58.6,61.0,6.64,6.6,3.88,4406
1.08,Very Good,F,SI2,62.6,56.0,6.55,6.61,4.12,4407
1.08,Premium,F,SI2,60.2,59.0,6.6,6.65,3.99,4407
1.25,Premium,J,SI2,62.3,59.0,6.86,6.82,4.26,4410
1.01,Premium,H,VS2,62.3,58.0,6.45,6.36,3.99,4412
1.07,Premium,H,SI2,61.2,60.0,6.53,6.57,4.01,4413
1.01,Ideal,I,SI1,62.5,56.0,6.4,6.44,4.01,4413
1.01,Good,E,SI2,56.7,61.0,6.68,6.7,3.79,4413
1.02,Very Good,E,SI2,58.7,63.0,6.61,6.55,3.86,4414
1.08,Premium,F,SI2,62.3,58.0,6.55,6.52,4.07,4414
1.01,Premium,F,SI2,62.6,60.0,6.35,6.37,3.98,4416
1.01,Good,F,SI2,63.9,54.0,6.33,6.44,4.08,4416
0.92,Premium,F,SI1,62.1,60.0,6.22,6.21,3.86,4420
1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,4421
1.1,Very Good,H,SI2,62.9,58.0,6.53,6.56,4.12,4422
1.07,Ideal,J,SI1,62.4,56.0,6.52,6.56,4.08,4422
1.12,Premium,J,VS2,58.6,58.0,6.85,6.81,4.0,4422
0.91,Very Good,F,VS1,63.1,59.0,6.19,6.14,3.89,4423
1.35,Fair,I,SI2,66.5,57.0,6.79,6.74,4.5,4423
1.16,Ideal,G,SI2,61.3,55.0,6.79,6.84,4.18,4425
1.01,Ideal,J,VS2,62.3,55.0,6.4,6.44,4.0,4425
1.04,Good,F,SI2,63.1,60.0,6.35,6.42,4.03,4427
0.91,Ideal,E,SI1,60.8,57.0,6.27,6.29,3.82,4429
1.01,Very Good,H,SI1,62.1,60.0,6.4,6.44,3.99,4432
1.01,Good,H,SI1,63.1,60.0,6.37,6.41,4.03,4432
0.91,Premium,E,SI1,62.5,61.0,6.19,6.1,3.84,4434
0.9,Very Good,G,SI1,62.2,58.0,6.15,6.2,3.84,4435
1.15,Premium,F,SI2,62.2,59.0,6.7,6.62,4.14,4437
0.56,Very Good,D,IF,60.7,56.0,5.34,5.36,3.25,4440
1.03,Ideal,E,SI2,62.5,56.0,6.45,6.48,4.04,4441
1.03,Fair,D,SI1,65.5,58.0,6.18,6.13,4.03,4441
1.07,Ideal,H,SI2,61.8,56.0,6.58,6.63,4.08,4442
1.2,Very Good,G,SI2,61.5,58.0,6.83,6.85,4.21,4443
1.08,Ideal,J,SI1,61.8,56.2,6.55,6.58,4.06,4443
1.01,Ideal,J,VS2,62.2,54.0,6.41,6.47,4.01,4443
1.01,Very Good,E,SI2,62.0,60.0,6.36,6.41,3.96,4445
1.0,Good,I,VVS1,56.5,62.0,6.58,6.55,3.71,4445
1.06,Ideal,I,VS2,62.3,56.0,6.51,6.56,4.07,4449
1.01,Very Good,H,SI1,62.3,63.0,6.3,6.23,3.9,4449
1.04,Very Good,J,VS2,59.5,59.0,6.59,6.66,3.94,4451
1.06,Premium,I,SI1,61.9,57.0,6.61,6.51,4.06,4452
1.0,Ideal,F,SI2,61.2,57.0,6.48,6.39,3.94,4452
1.0,Good,F,SI1,64.0,57.0,6.33,6.29,4.04,4452
1.03,Ideal,F,SI2,61.8,56.0,6.49,6.46,4.0,4454
1.2,Very Good,I,SI2,61.9,59.0,6.77,6.84,4.21,4455
1.04,Ideal,G,SI2,61.7,56.0,6.57,6.52,4.04,4455
0.9,Premium,G,SI1,60.6,57.0,6.28,6.2,3.78,4455
1.04,Premium,G,SI2,62.6,58.0,6.49,6.42,4.04,4455
1.0,Fair,G,VS1,64.9,65.0,6.31,6.18,4.05,4455
1.01,Good,D,SI2,63.5,61.0,6.33,6.37,4.03,4457
1.02,Ideal,F,SI2,61.0,58.0,6.48,6.51,3.96,4457
1.11,Ideal,I,SI2,61.9,57.0,6.66,6.62,4.11,4457
1.01,Ideal,F,SI2,62.1,55.0,6.42,6.47,4.0,4458
1.03,Ideal,I,SI1,60.7,60.0,6.5,6.55,3.96,4458
1.06,Ideal,G,SI2,62.2,55.0,6.53,6.56,4.07,4459
1.02,Premium,I,VS2,62.0,58.0,6.44,6.47,4.0,4459
1.02,Good,D,SI2,64.1,58.0,6.25,6.32,4.03,4459
0.9,Good,G,VS1,63.7,56.0,6.15,6.07,3.89,4460
0.38,Very Good,F,SI2,61.2,57.0,4.67,4.71,2.87,585
0.4,Premium,I,SI2,62.9,59.0,4.68,4.63,2.93,585
0.28,Very Good,G,VVS1,60.7,56.0,4.27,4.29,2.6,586
0.39,Ideal,J,VS2,61.8,55.9,4.66,4.69,2.89,586
0.37,Ideal,G,SI1,61.4,55.0,4.63,4.68,2.86,586
0.32,Ideal,F,SI1,60.9,55.0,4.46,4.53,2.72,586
0.31,Good,H,VS2,63.8,56.0,4.33,4.29,2.75,586
0.38,Very Good,D,SI1,62.0,55.0,4.67,4.72,2.91,586
0.27,Good,E,VVS1,63.9,57.0,4.07,4.1,2.61,586
1.02,Fair,H,VS2,64.6,61.0,6.32,6.24,4.06,4462
0.9,Good,E,SI1,63.9,55.0,6.08,6.13,3.9,4463
0.9,Good,E,SI1,63.9,57.0,6.05,6.1,3.88,4463
0.91,Very Good,D,SI1,60.2,60.0,6.22,6.27,3.76,4466
1.0,Ideal,J,VS1,61.1,57.0,6.43,6.48,3.95,4466
1.01,Good,D,VS2,64.1,57.0,6.32,6.22,4.02,4466
1.01,Good,D,SI2,64.6,59.0,6.23,6.3,4.05,4468
0.9,Good,D,SI1,58.5,63.0,6.21,6.3,3.66,4469
1.0,Premium,H,SI1,62.2,60.0,6.45,6.34,3.98,4469
1.03,Ideal,G,SI2,62.1,57.0,6.44,6.42,3.99,4470
1.21,Premium,G,SI2,60.9,59.0,6.87,6.82,4.17,4472
1.01,Good,H,SI1,60.5,56.0,6.43,6.49,3.91,4475
1.02,Ideal,E,SI2,62.8,55.0,6.43,6.4,4.03,4478
1.12,Premium,G,SI2,62.8,58.0,6.62,6.57,4.14,4478
1.01,Good,E,SI2,63.2,59.0,6.34,6.38,4.02,4479
0.98,Very Good,H,SI2,62.2,60.0,6.31,6.36,3.94,4479
0.96,Premium,F,SI1,60.6,62.0,6.39,6.35,3.86,4480
1.01,Fair,E,SI1,65.1,61.0,6.27,6.24,4.07,4480
1.01,Premium,E,SI1,62.4,58.0,6.42,6.37,3.99,4480
1.0,Fair,E,VS2,66.4,51.0,6.31,6.22,4.16,4480
1.0,Premium,F,SI2,61.6,58.0,6.44,6.35,3.94,4480
1.08,Very Good,H,SI2,63.0,59.0,6.51,6.54,4.11,4481
1.15,Very Good,H,SI2,63.0,54.0,6.64,6.73,4.21,4483
1.04,Ideal,H,SI2,60.7,57.0,6.51,6.43,3.93,4484
1.04,Ideal,I,SI1,62.2,56.0,6.51,6.47,4.04,4484
1.04,Ideal,I,SI1,61.8,59.0,6.46,6.48,4.0,4484
1.1,Ideal,G,SI1,62.5,57.0,6.61,6.58,4.12,4484
0.9,Good,G,VVS2,62.6,63.0,6.1,6.14,3.83,4485
1.04,Very Good,E,SI2,60.9,59.0,6.58,6.62,4.02,4486
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4487
1.17,Ideal,I,SI2,62.2,56.0,6.72,6.79,4.2,4488
1.08,Ideal,G,SI2,62.3,56.0,6.53,6.57,4.08,4489
1.01,Good,H,VS2,64.3,58.0,6.27,6.2,4.01,4489
1.07,Premium,F,SI2,60.8,58.0,6.62,6.68,4.04,4491
1.07,Premium,I,VS2,60.7,58.0,6.62,6.66,4.03,4491
1.08,Ideal,H,SI2,61.8,55.0,6.57,6.6,4.07,4491
1.54,Good,J,I1,61.7,60.0,7.26,7.32,4.5,4492
1.0,Premium,G,SI1,62.5,59.0,6.35,6.29,3.95,4493
1.07,Ideal,H,SI2,62.8,57.0,6.58,6.5,4.11,4494
0.8,Very Good,E,VS1,62.4,54.0,5.98,5.94,3.72,4495
0.9,Very Good,D,SI1,62.3,58.0,6.14,6.16,3.83,4497
1.1,Good,I,SI1,63.7,59.0,6.56,6.5,4.16,4497
1.01,Premium,F,SI2,60.0,59.0,6.61,6.48,3.93,4497
1.01,Premium,F,SI2,62.4,58.0,6.41,6.37,3.99,4497
1.01,Premium,F,SI2,62.6,60.0,6.37,6.35,3.98,4497
1.12,Very Good,H,SI2,62.9,58.0,6.55,6.62,4.14,4498
1.19,Good,J,SI1,59.8,64.0,6.94,6.9,4.14,4498
1.19,Premium,J,SI1,63.0,54.0,6.82,6.74,4.27,4498
1.0,Good,I,VS1,63.9,56.0,6.18,6.37,4.01,4499
0.91,Good,F,VS1,63.1,59.0,6.14,6.19,3.89,4502
1.03,Very Good,F,SI2,61.4,57.0,6.53,6.6,4.03,4503
0.9,Very Good,F,VS2,63.2,58.0,6.11,6.16,3.88,4504
0.9,Premium,D,VS2,58.7,62.0,6.32,6.29,3.7,4505
0.9,Good,F,VS1,63.3,59.0,6.03,6.07,3.83,4508
1.36,Premium,G,I1,62.1,57.0,7.11,7.06,4.4,4509
1.01,Ideal,I,SI1,61.9,57.0,6.4,6.5,3.98,4509
1.28,Ideal,G,I1,61.6,57.0,6.96,6.93,4.28,4509
0.91,Good,E,SI1,63.1,58.0,6.12,6.17,3.88,4512
1.01,Ideal,H,SI1,62.6,55.0,6.42,6.36,4.0,4513
1.14,Premium,D,SI2,62.4,58.0,6.67,6.7,4.17,4513
1.01,Premium,H,SI1,61.8,61.0,6.47,6.4,3.98,4513
1.01,Premium,H,SI1,62.3,58.0,6.42,6.35,3.98,4513
0.9,Very Good,D,SI1,61.9,55.0,6.18,6.22,3.84,4514
0.36,Ideal,H,VS2,61.0,55.0,4.59,4.62,2.81,587
0.36,Ideal,H,VS2,61.0,56.0,4.61,4.63,2.82,587
0.39,Ideal,F,SI2,62.2,55.0,4.68,4.71,2.92,587
0.3,Ideal,F,VS1,61.5,55.0,4.33,4.35,2.67,587
0.4,Good,E,SI2,61.2,61.0,4.71,4.74,2.89,588
0.28,Very Good,E,VS1,63.1,55.0,4.18,4.15,2.63,588
0.34,Premium,I,SI1,60.0,58.0,4.55,4.51,2.72,589
0.34,Premium,I,SI1,60.4,56.0,4.56,4.54,2.75,589
0.32,Very Good,D,SI1,62.6,58.0,4.33,4.36,2.72,589
1.03,Very Good,H,SI1,61.1,59.0,6.5,6.56,3.99,4520
1.07,Premium,G,SI2,62.0,59.0,6.54,6.5,4.04,4523
0.9,Ideal,D,SI1,62.1,57.0,6.18,6.25,3.86,4523
1.08,Ideal,J,SI1,61.8,56.0,6.58,6.55,4.06,4524
1.01,Premium,I,SI1,60.8,61.0,6.47,6.43,3.92,4525
1.01,Premium,G,SI2,61.9,60.0,6.37,6.33,3.93,4525
0.93,Very Good,D,SI1,60.8,59.0,6.24,6.27,3.8,4527
1.0,Good,G,SI1,61.6,62.0,6.37,6.45,3.95,4528
0.85,Premium,F,VVS2,61.2,60.0,6.1,6.13,3.74,4530
1.04,Ideal,E,SI1,62.0,57.0,6.47,6.5,4.02,4530
1.2,Premium,J,SI1,60.5,59.0,6.84,6.79,4.12,4536
1.08,Ideal,H,SI2,61.0,57.0,6.64,6.6,4.04,4536
1.1,Very Good,I,SI1,62.0,59.0,6.54,6.59,4.07,4537
1.1,Ideal,J,VS2,62.4,55.0,6.59,6.64,4.13,4537
1.0,Very Good,I,SI1,63.3,56.0,6.27,6.36,4.0,4538
0.9,Very Good,G,VS1,62.7,60.0,6.06,6.13,3.82,4540
0.9,Good,G,VS1,63.7,56.0,6.07,6.15,3.89,4540
0.98,Very Good,G,SI2,62.2,57.0,6.33,6.37,3.95,4542
1.0,Good,G,SI1,63.3,60.0,6.24,6.33,3.98,4543
1.0,Very Good,D,SI2,58.3,61.0,6.54,6.59,3.83,4543
1.25,Premium,D,SI2,59.8,55.0,7.07,7.01,4.21,4543
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4549
0.91,Fair,E,VS2,61.8,66.0,6.11,6.09,3.77,4550
1.02,Premium,G,SI2,62.5,58.0,6.43,6.4,4.01,4552
1.28,Premium,J,SI2,62.3,58.0,6.89,6.94,4.31,4553
1.07,Fair,F,SI1,60.6,66.0,6.65,6.46,3.97,4554
1.13,Ideal,H,SI1,61.3,57.0,6.72,6.7,4.11,4556
1.02,Premium,H,SI1,60.3,59.0,6.5,6.44,3.9,4558
1.02,Premium,H,SI1,61.9,61.0,6.42,6.34,3.95,4558
1.14,Ideal,G,SI2,63.0,57.0,6.7,6.64,4.2,4558
1.01,Good,H,SI1,60.3,64.0,6.5,6.53,3.93,4559
1.21,Good,J,SI2,60.4,56.0,6.84,6.93,4.16,4559
1.01,Premium,H,VS2,61.9,62.0,6.45,6.37,3.97,4559
1.01,Very Good,H,VS2,63.3,57.0,6.32,6.27,3.99,4559
1.35,Ideal,G,I1,62.5,57.0,7.01,7.04,4.39,4560
1.07,Premium,F,SI2,61.8,59.0,6.53,6.57,4.05,4560
1.05,Good,D,SI2,60.0,63.0,6.59,6.64,3.97,4560
1.05,Ideal,G,SI2,62.3,56.0,6.52,6.58,4.08,4561
1.01,Fair,F,SI1,65.9,60.0,6.25,6.17,4.09,4561
0.92,Premium,E,SI1,62.2,58.0,6.18,6.23,3.86,4562
0.92,Premium,E,SI1,59.8,59.0,6.33,6.37,3.8,4562
1.22,Premium,I,VS2,61.6,59.0,6.86,6.81,4.21,4562
1.07,Ideal,E,SI2,61.6,55.0,6.62,6.59,4.07,4564
1.0,Good,E,SI1,63.9,57.0,6.31,6.34,4.04,4573
1.02,Ideal,F,SI2,61.4,56.0,6.47,6.5,3.98,4578
1.11,Premium,H,SI2,61.6,60.0,6.6,6.67,4.09,4578
1.09,Premium,H,SI2,61.7,60.0,6.59,6.57,4.06,4578
0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579
1.27,Premium,J,VS2,62.2,58.0,6.88,6.84,4.27,4580
0.9,Very Good,E,VS2,59.1,62.0,6.24,6.28,3.7,4580
0.9,Very Good,E,VS2,62.2,59.0,6.13,6.18,3.83,4580
1.2,Very Good,J,SI2,61.8,60.0,6.76,6.83,4.2,4580
1.03,Ideal,G,SI2,61.8,55.0,6.46,6.51,4.01,4582
1.24,Very Good,J,SI2,62.2,58.0,6.82,6.94,4.28,4583
1.02,Very Good,D,SI2,58.6,63.0,6.56,6.54,3.84,4583
1.11,Very Good,H,SI2,59.0,59.0,6.79,6.82,4.02,4584
0.32,Ideal,D,SI1,61.3,55.0,4.39,4.42,2.7,589
0.32,Very Good,I,VVS1,63.0,58.0,4.32,4.38,2.74,589
0.36,Premium,G,VS2,62.5,58.0,4.51,4.55,2.83,589
0.32,Good,D,SI1,63.5,55.0,4.31,4.35,2.75,589
0.32,Ideal,D,SI1,62.5,54.0,4.39,4.41,2.75,589
0.9,Premium,D,VS2,63.0,62.0,6.13,6.06,3.84,4586
1.03,Ideal,F,SI2,60.5,58.0,6.55,6.49,3.94,4586
1.26,Premium,H,SI2,62.0,56.0,6.92,6.88,4.28,4586
1.05,Ideal,H,SI2,61.9,56.0,6.56,6.49,4.04,4586
1.01,Very Good,D,SI2,62.2,60.0,6.4,6.43,3.99,4588
1.01,Good,G,SI1,63.5,60.0,6.3,6.33,4.01,4588
1.01,Ideal,G,SI1,61.8,57.0,6.41,6.46,3.98,4588
1.01,Very Good,D,SI2,62.8,59.0,6.34,6.44,4.01,4588
1.05,Ideal,F,SI2,60.9,56.0,6.56,6.64,4.02,4591
0.83,Ideal,F,VS1,62.3,56.4,5.97,6.02,3.73,4592
0.76,Ideal,F,IF,59.6,58.0,5.95,5.96,3.55,4596
0.9,Very Good,G,VS2,62.5,57.0,6.12,6.14,3.83,4600
1.2,Very Good,H,SI1,61.4,63.0,6.76,6.72,4.14,4603
1.03,Premium,H,SI1,61.1,59.0,6.56,6.5,3.99,4603
1.05,Premium,H,SI1,61.9,58.0,6.45,6.5,4.01,4608
1.07,Very Good,E,SI2,60.5,61.0,6.55,6.61,3.98,4609
1.13,Premium,I,VS2,62.0,58.0,6.64,6.69,4.13,4611
0.9,Premium,D,SI1,62.2,60.0,6.14,6.08,3.8,4612
1.01,Ideal,I,SI1,60.2,59.0,6.49,6.54,3.92,4612
0.9,Premium,D,SI1,62.4,61.0,6.17,6.13,3.84,4612
1.04,Ideal,E,SI1,62.0,57.0,6.5,6.47,4.02,4613
1.01,Premium,F,SI2,61.7,60.0,6.42,6.36,3.94,4616
0.9,Very Good,F,VS2,61.6,63.0,6.13,6.17,3.79,4617
0.9,Good,F,VS2,64.3,57.0,6.07,6.09,3.91,4617
1.01,Very Good,H,SI1,60.2,60.0,6.5,6.48,3.91,4617
1.17,Ideal,J,SI1,62.1,57.0,6.74,6.81,4.21,4617
1.05,Premium,G,SI2,63.0,57.0,6.47,6.41,4.06,4618
1.01,Good,F,SI1,62.4,59.0,6.3,6.42,3.97,4619
1.01,Very Good,F,SI1,61.9,57.0,6.37,6.42,3.96,4619
1.12,Premium,H,SI2,61.9,58.0,6.66,6.74,4.15,4620
1.0,Premium,E,SI2,61.7,58.0,6.34,6.39,3.93,4620
1.1,Premium,I,SI1,62.0,59.0,6.59,6.54,4.07,4620
1.1,Premium,H,SI2,62.2,58.0,6.69,6.6,4.13,4620
1.1,Ideal,H,SI2,62.6,56.0,6.65,6.57,4.14,4620
0.92,Very Good,F,SI1,62.2,55.0,6.19,6.26,3.87,4621
0.98,Premium,H,VS2,59.9,60.0,6.45,6.38,3.84,4623
1.12,Very Good,H,SI2,61.8,58.0,6.62,6.68,4.11,4624
1.0,Good,I,VS1,59.6,61.0,6.48,6.53,3.88,4624
1.0,Premium,D,SI2,62.2,61.0,6.36,6.3,3.94,4626
1.08,Ideal,G,SI2,62.2,56.0,6.59,6.56,4.09,4627
1.09,Very Good,F,SI2,58.6,63.0,6.73,6.78,3.96,4629
1.01,Premium,F,SI1,63.0,58.0,6.33,6.29,3.98,4632
1.02,Good,D,SI2,63.4,59.0,6.37,6.41,4.05,4633
1.02,Very Good,D,SI2,61.5,56.0,6.47,6.51,3.99,4633
1.02,Ideal,G,SI1,59.2,57.0,6.52,6.56,3.87,4633
1.06,Very Good,F,SI2,62.6,60.0,6.54,6.44,4.06,4634
0.93,Ideal,H,SI1,62.4,55.0,6.2,6.24,3.88,4635
1.2,Very Good,J,SI2,61.4,55.0,6.85,6.92,4.23,4636
0.9,Premium,G,VS2,61.7,57.0,6.21,6.11,3.8,4637
0.9,Very Good,H,VVS2,59.9,61.0,6.29,6.19,3.74,4637
1.21,Fair,G,SI1,64.5,56.0,6.69,6.62,4.29,4637
1.01,Ideal,I,SI1,61.9,59.0,6.38,6.42,3.96,4638
1.18,Premium,I,SI2,61.7,58.0,6.79,6.75,4.18,4639
1.1,Very Good,I,SI1,61.2,61.0,6.61,6.66,4.01,4640
1.01,Ideal,I,SI1,60.3,58.0,6.5,6.56,3.94,4641
0.91,Ideal,F,SI2,62.0,56.0,6.2,6.22,3.85,4642
0.7,Very Good,E,VVS1,63.2,57.0,5.62,5.67,3.57,4644
1.01,Fair,G,SI1,60.4,62.0,6.31,6.34,3.82,4646
1.52,Fair,H,I1,69.7,55.0,6.92,6.89,4.81,4648
1.04,Ideal,H,SI1,62.5,57.0,6.5,6.46,4.05,4648
1.0,Ideal,I,SI1,61.5,57.0,6.39,6.43,3.94,4649
0.32,Ideal,I,VVS1,62.4,55.0,4.34,4.38,2.72,589
0.32,Ideal,D,SI1,60.8,57.0,4.41,4.44,2.69,589
0.32,Ideal,D,SI1,59.6,57.0,4.42,4.47,2.65,589
0.32,Very Good,I,VVS1,60.1,61.0,4.4,4.45,2.66,589
0.34,Good,F,VS2,64.3,53.0,4.44,4.48,2.87,589
0.26,Very Good,F,SI1,59.6,55.0,4.18,4.24,2.51,590
0.3,Ideal,H,VVS2,61.5,55.0,4.34,4.37,2.68,590
0.3,Ideal,H,VVS2,62.7,53.0,4.29,4.32,2.7,590
1.01,Ideal,G,SI1,61.4,57.0,6.44,6.5,3.97,4653
1.15,Very Good,H,SI2,61.9,57.0,6.68,6.72,4.15,4654
1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01,4656
1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,4656
1.32,Very Good,J,SI1,63.5,57.0,6.98,6.95,4.42,4657
1.01,Very Good,H,SI1,63.5,57.0,6.31,6.35,4.02,4659
1.09,Premium,I,VS2,61.3,58.0,6.63,6.58,4.05,4659
1.04,Ideal,I,SI1,61.3,57.0,6.56,6.53,4.01,4659
0.94,Premium,E,SI1,60.0,58.0,6.37,6.44,3.84,4661
1.13,Very Good,H,SI2,62.7,55.0,6.61,6.69,4.17,4661
0.9,Premium,G,VS1,62.7,58.0,6.06,6.15,3.83,4661
1.15,Very Good,H,SI2,63.7,56.0,6.63,6.66,4.23,4661
1.02,Ideal,I,VS2,61.5,57.0,6.49,6.45,3.98,4662
1.02,Ideal,F,SI2,61.4,56.0,6.5,6.47,3.98,4662
1.11,Premium,H,SI2,61.6,60.0,6.67,6.6,4.09,4662
0.91,Premium,D,SI1,59.0,61.0,6.35,6.29,3.73,4663
0.9,Very Good,H,VVS1,62.1,59.0,6.17,6.19,3.84,4664
0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,4665
1.01,Very Good,E,SI2,59.5,59.0,6.54,6.58,3.9,4666
1.01,Ideal,E,SI2,61.2,54.0,6.49,6.52,3.98,4666
1.01,Very Good,E,SI2,61.5,56.0,6.45,6.47,3.97,4666
1.24,Premium,J,SI2,62.2,58.0,6.94,6.82,4.28,4666
1.04,Ideal,F,SI2,62.1,57.0,6.46,6.48,4.02,4668
0.9,Very Good,G,VVS2,62.6,55.0,6.12,6.19,3.85,4668
0.9,Good,G,VVS2,62.6,58.0,6.1,6.13,3.83,4668
0.91,Very Good,E,SI2,63.2,56.0,6.08,6.14,3.86,4668
1.21,Premium,I,VS2,61.6,61.0,6.86,6.8,4.21,4669
1.11,Premium,G,SI2,61.5,58.0,6.6,6.67,4.08,4670
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4670
1.01,Premium,D,SI2,62.8,59.0,6.44,6.34,4.01,4672
1.01,Premium,D,SI2,60.3,57.0,6.56,6.51,3.94,4672
1.12,Very Good,H,SI1,63.1,56.0,6.62,6.59,4.17,4673
1.21,Premium,J,VS1,61.0,60.0,6.88,6.83,4.18,4675
0.9,Premium,E,SI1,62.8,58.0,6.13,6.09,3.84,4677
